,Subject,Message
175,Ham,"EFFector       Vol. 15, No. 35       November 8, 2002     ren@eff.orgA Publication of the Electronic Frontier Foundation     ISSN 1062-9424In the 234th Issue of EFFector:    * ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!
    * ALERT: Bait and Switch: Anticounterfeiting Bill Hurts Your 
      Rights!
    * Canadian Trademark Law Overreaching
    * Give Twice as Many Gifts this Holiday Season!
    * Deep Links (4): Security Technologies Could Backfire Against 
      Consumers
    * AdministriviaFor more information on EFF activities & alerts: http://www.eff.org/To join EFF or make an additional donation:
  http://www.eff.org/support/
EFF is a member-supported nonprofit. Please sign up as a member today!-----------------------------------------------------------------* ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!As the legislative season ends, it is vitally important to gather
support for legislation that will be center-stage in the next session.
This is an opportunity to ask your representative to take a stand for
your rights. Ask her/him to co-sponsor the DMCRA today!Representatives Rick Boucher and John Doolittle recently introduced
the Digital Media Consumers' Rights Act (DMCRA, H.R. 5544), which
would require labelling on usage-impaired ""copy-protected"" compact
discs and would make several several amendments to 1998's infamous
Digital Millennium Copyright Act (DMCA).Take action here:
http://action.eff.org/action/index.asp?step=2&item=2224Join EFF! For membership information see:
http://www.eff.org/support/-=end=-----------------------------------------------------------* ALERT: Bait and Switch; Anticounterfeiting Bill Hurts Your Rights!Don't be fooled by Senator Biden's ""Anticounterfeiting Amendments of
2002"" (S. 2395, also known as ""the Biden Bill""). It started as an
attempt to stop organized crime from forging holograms and
counterfeiting money, but its scope has been greatly expanded to
include digital watermarks on copyrighted material. This is a sneaky
power-grab that would greatly diminish the rights of the public in
copyrighted works while expanding the power of copyright owners. It
goes well beyond the scope of current copyright law and could:~ Prevent universities, libraries, and consumers from enjoying the
exceptions to the Copyright Act adopted by Congress. S. 2935 could
prohibit the use of interface information essential for software
interoperability and competition~ Impose new responsibilities on Internet service providers and could
also require consumer electronics and computer manufacturers to
reconfigure their products.~ Impose more severe criminal and civil penalties than permitted by
the Copyright Act for identical behaviorThis ""anticounterfeiting"" bill is a decoy; stand up for your rights
today! Subscribe to the EFF Action Center and send your member of
Congress an email, letter or fax. You can take action by going to:http://action.eff.org/action/index.asp?step=2&item=2274Join EFF! For membership information see:
http://www.eff.org/support/-=end=-----------------------------------------------------------* Canadian Trademark Law OverreachingEFF has been involved in several cases involving overreaching
trademark claims on the Internet. Recently we have learned about a
Canadian lawsuit over the website www.lawsnet.com, a nonprofit legal
information website focusing on the laws of Canada and China that seem
especially egregious.Lawsnet.com is a free legal information website that has been
published since 1998. Last year, Lawsnet.com's owner Ling Xia was sued
by Quicklaw, a subsidiary of global publishing giant LexisNexus Group.
Quicklaw claims that Lawsnet.com violates its rights in the name
LAW/NET. However, LAW/NET does not have a public Internet website
under that domain name. The name appears on a subsidiary webpage of
the Quicklaw.com website that offers public ""teasers"" in the form of
summaries of recent Canadian cases, with the full text only available
through the private, proprietary paid Quicklaw service for Canadian
lawyers. It seems clear that the two names are substantially
different, are used in different places (one as a teaser for a closed
computer service and the other for information freely available on the
public internet) and are not causing any consumer confusion. Even more
problematic, Quicklaw does not even have a Canadian trademark in the
term LAW/NET -- it applied for one in 1997 but has repeatedly filed
requests for extensions of time with the Canadian trademark
authorities. In contrast, Ms. Xia is in the final stages of having a
Canadian trademark issued for ""lawsnet.""Regardless of its weak case, Quicklaw has managed to drag Ms. Xia
through over a year of litigation and recently succeeded in securing a
court order requiring her to undergo an extensive ""discovery"" process
that threatens to drive her under. Although she has had some free
legal assistance in the past, this next phase will require
significantly more legal resources than her volunteer attorneys can
muster. Quicklaw is represented by a large Toronto firm, Borden Ladner
and Gervais, LLP.Abuse of trademark law (even here, when no official trademark has even
been granted) is a growing problem on the Internet, and it is
unfortunately becoming an international problem. EFF urges Quicklaw,
and its US-based parent company, to stop beating up on this free and
useful website. While trademark law is important when misuse of a mark
is causing consumer confusion, it does not -- and should not -- grant
ownership in words, especially descriptive words like ""laws"" and ""net""
when describing an online legal information service. Trademark law
should also not be a license for large corporations who sell legal
information (or any other nonproprietary information) to stop
individuals who want to use the power of the Internet to provide free
legal information to the public.For those who wish to help Ms. Xia directly, local Toronto lawyer and
part-time law professor Gil Lan has agreed to act as trustee for a
legal defence fund to be established for Ms. Xia. If you wish to help,
please contact:Mr. Gil Lan
Barrister & Solicitor
393 University Avenue
Suite 2000
Toronto, Ontario, M5G 1E6or by email at:
glan@globalbusinesslaw.comor Ling Xia at:
editor@lawsnet.com-=end=-----------------------------------------------------------* Give Twice as Many Gifts this Holiday Season!EFF has signed up with ShopsThatGive.com, a portal site for dozens of
online shops that donates a portion of their referral fees to a
charity of your choice. If you shop online at any of the websites
available through ShopsThatGive, including Alibris, buy.com, Disney
Store, eBay, eToys, Half.com, Lens Express, McAfee, Office Depot,
Palm, Petsmart, REI, Rail Europe, and Verizon Wireless, part of your
purchase can be donated back to EFF. From the main ShopsThatGive page,
simply select EFF as your designated cause, select a merchant or
category, and you're all set. It won't cost you anything extra and it
would help us out a lot. Please keep this giving opportunity in mind,
especially throughout the upcoming holiday season.Links:
ShopsThatGive:
http://www.shopsthatgive.com/Complete List of Participating Merchants:
http://www.shopsthatgive.com/category.aspxBuy EFF-related books through Amazon or Barnes&Noble:
http://www.eff.org/promo/books.html-=end=-----------------------------------------------------------* Deep Links
Deep Links features noteworthy news items, victories, and threats from
around the Internet.~ Security Technologies Could Backfire Against Consumers
Robert Lemos at news.com with a balanced piece on trusted computing.
http://news.com.com/2009-1001-964628.html?tag=fd_lede1_hed~ Barbie's Kinky Rival Wins First Court Battle
Mattel loses first round in intellectual property battle over S&M doll
with Barbie head.
http://www.thescotsman.co.uk/international.cfm?id=1242812002~ Unspooled
In the digital age, the quaint cassette is sent reeling into history's
dustbin.
http://www.washingtonpost.com/wp-dyn/articles/A32476-2002Oct28.html~ The Meaning and Importance of the TEACH Act
The American Library Association on the latest amendment to US
copyright law.
http://www.ala.org/washoff/teach.html-=end=-----------------------------------------------------------* AdministriviaEFFector is published by:The Electronic Frontier Foundation
454 Shotwell Street
San Francisco CA 94110-1914 USA
+1 415 436 9333 (voice)
+1 415 436 9993 (fax)
  http://www.eff.org/Editor:
Ren Bucholz, Activist
  ren@eff.orgTo Join EFF online, or make an additional donation, go to:
  http://www.eff.org/support/Membership & donation queries: membership@eff.org
General EFF, legal, policy or online resources queries: ask@eff.orgReproduction of this publication in electronic media is encouraged.
Signed articles do not necessarily represent the views of EFF. To
reproduce signed articles individually, please contact the authors for
their express permission. Press releases and EFF announcements &
articles may be reproduced individually at will.To change your address, please visit http://action.eff.org/subscribe/.
>>From there, you can update all your information. If you have already
subscribed to the EFF Action Center, please visit
http://action.eff.org/action/login.asp.To unsubscribe from the EFFector mailing list, send an email to
alerts@action.eff.org with the word ""Remove"" in the subject.(Please ask ren@eff.org to manually remove you from the list if this
does not work for you for some reason.)Back issues are available at:
  http://www.eff.org/effector ++++++++++++++++++++++++
You received this message because legit-lists-eff@jmason.org is a member of
the mailing list originating from alerts@action.eff.org. To unsubscribe 
from all mailing lists originating from alerts@action.eff.org, send an 
email from legit-lists-eff@jmason.org to alerts@action.eff.org with 'Remove' as the
only text in the subject line.
"
176,Spam,"formal invite for chase . secrets revealed . how do porn stars perform , stay strong and hard even after cumming ! grow upto "" 8 "" inches ! the answer is here . turn off notifications here . ub international exports ltd st . jan # 3341 belize city , belize"
177,Spam,"
Question?Do you want a different job?
Do you want to be your own boss?
Do you need extra income?
Do you need to start a new life?
Does your current job seem to go nowhere?If you answered yes to these questions, then here is your solution.We are a fortune 500 company looking for motivated individuals who are 
looking
to a substantial income working from home.Thousands of individual are currently do this RIGHT NOW.
So if you are looking to be employed at home, with a career that will
provide you vast opportunities and a substantial income, please fill
out our online information request form here now:http://ter.netblah.com:27000To miss out on this opportunity, click herehttp://ter.netblah.com:27000/remove.html
"
178,Ham,"URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
Date: Not suppliedhttp://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
"
179,Ham,"calpine daily and monthly nomination > > ricky a . archer fuel supply 700 louisiana , suite 2700 houston , texas 77002 713 - 830 - 8659 direct 713 - 830 - 8722 fax - calpine daily gas nomination 1 . doc - calpine monthly gas nomination _ _ _ . doc"
180,Ham,"fw : bod agenda deadlines the next bod and committee meetings will be held on april 30 - may 1 . rebecca carter has set the deadline for commercial groups to submit agenda items to her office and to rick buy as wednesday , april 18 . i will forward her notification memo sent to the commercial teams once it is distributed . please contact me as soon as possible if you know of anything that has a possibility to be added to the finance committee agenda . all presentations as approved by rebecca carter , fully executed dashes and legal resolutions should be turned in to us by friday , april 20 . the mailout date and final cutoff is tuesday , april 24 ."
181,Ham,start date : 12 / 16 / 01 ; hourahead hour : 19 ; start date : 12 / 16 / 01 ; hourahead hour : 19 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001121619 . txt # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .
182,Ham,"re : tetco / hpl ( enerfin ) meter # 986892 step # 1 has been completed . sherlyn , verify step # 2 tomorrow and call me when completed . jackie , verify the nom on oct 4 & 5 . it appears there is still a volume for meter 6892 until oct 6 . if there are any questions or issues , contact me at 37649 . i am the contact person while clem is out ( through friday ) . hc - - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 10 / 04 / 2000 01 : 01 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - romeo d ' souza 10 / 04 / 2000 12 : 40 pm to : clem cernosek / hou / ect @ ect cc : michael eiben / hou / ect @ ect , howard b camp / hou / ect @ ect subject : re : tetco / hpl ( enerfin ) meter # 986892 clem , i have completed setting the confirm = 0 for 986892 and reallocated all the days . they are all zero now , however 10 / 4 / 2000 and 10 / 5 / 2000 still have a non - zero bav , these should get set to 0 by 10 / 6 . since allocation will not allocate these days till 10 / 6 gas date . r . d clem cernosek 10 / 03 / 2000 05 : 19 pm to : donna consemiu / hou / ect @ ect , romeo d ' souza / hou / ect @ ect , sherlyn schumack / hou / ect @ ect , jackie young / hou / ect @ ect cc : michael eiben / hou / ect @ ect , rita wynne / hou / ect @ ect , pat clynes / corp / enron @ enron , daren j farmer / hou / ect @ ect , gary a hanks / hou / ect @ ect , victor lamadrid / hou / ect @ ect , howard b camp / hou / ect @ ect subject : tetco / hpl ( enerfin ) meter # 986892 step i . romeo : please do step 1 today , 10 / 4 / 00 . 1 . please change the confirmed noms to zero for all contracts that have be nominated for period 1 / 1 / 00 thru 10 / 31 / 00 for the above meter . 2 . change the allocation method to "" not allocatable "" effective 1 / 1 / 99 . 3 . please reallocate the meter for period 1 / 1 / 99 thru 10 / 31 / 00 . 4 . call me after the above tasks have been completed . step ii . sherlyn : please check the following tommorrow , 10 / 5 / 00 . 1 verify with settlements that the zero bav adjustment were received for all contract activities at meter 986892 for period 1 / 1 / 99 thru 9 / 30 / 00 . 2 . after verification is complete , please call me . step iii . donna : i will call you tomorrow , 10 / 5 / 00 to inform when you can make the following changes : 1 . change the meter # and drn # at facility # 501026 . this facility should be trade and nom "" yes "" . 2 . change the meter # and drn # at facility # 515136 . this facility should be trade and nom "" no "" . 3 . after completion , please call me as well as romeo ( x - 34544 ) . step iv . romeo : upon receiving a call from donna : 1 . please make the appropriate changes or corrections in pops system for the facility changes made by global facilities dept . my understanding is that these changes can not be done automatically . 2 . upon completion , please call me . step v . jackie : 1 . tomorrow , 10 / 05 / 00 , after i am informed that romeo has made his changes , i will let you know and you may begin scheduling meter # 0980439 which is the meter replacing # 0986892 . 2 . after completion , please let me know . * * * * * * * * gary : this could create some problems for gas control , because all confirmed volumes will be zeroed including october , 2000 activities at meter 986892 today ( 10 / 4 / 00 ) . this should correct itself within 24 thru 48 hours at meter # 980439 . daren : this could also create some issues for you , but remember , these issues should clear within 24 to 48 hours . victor : this is just for your information , since this should not create and changes for you . if anyone has any questions , please feel free to call me at x - 3665 o . thanks , clem"
183,Spam,"
PROMOTE YOUR PRODUCT OR
SERVICE TO MILLIONS TODAY!
Â 
E-MAIL MARKETING
- Bulk e-mail will make you money so fast, your head will
spin!- Our customers tell us that they would no longer be in
business without it.- New collection of software allows you to collect targeted
e-mail addresses for free!Â Â Â  See this product's web
page
CLICK
HERE
Â 
1 MILLION AMERICAN BUSINESS LEADS ON
CD- If you do telemarketing, mailing, or faxing this list
will be a gold mine!
- Contains company name, address,
phone, fax, SIC, # of employees & revenue
-
List allows for
UNLIMITED DOWNLOADS!
Â Â Â 
See this product's web page 
CLICK HERE
Â 
FAX MARKETING SYSTEM
- Fax broadcasting is the hot new way to market your product
or service!- People are 4 times more likely to read faxes than direct
mail.- Software turns your computer into a fax blaster with 4
million  leads on disk!
Â Â Â 
See this product's web page 
CLICK HERE
Â 
Visit our web site or
call 618-288-6661 for more information.
Â 
Â 
Â 
Â to be taken off of our list
click here
"
184,Ham,"culture committee / subcommittee meeting the management team follow - up meeting for the culture committee has been set for monday may 7 , 2001 , from 11 : 30 until 1 : 30 in eb 4102 . lunch will be provided , so please respond confirming your attendance . also , this conference room is equipped with video capabilities , so please advise if you will require this function . thank you , ricki winters ( 713 ) 853 - 5754"
185,Ham,"sle 31 call for papers , sle 31 , st andrews , scotland , 26-30 august 1998 workshop on modality in generative grammar the description and analysis of modality is of central interest to the study of human language . modality interacts with many subsystems of syntax and a better understanding of modality would further our understanding of these subsystems greatly . the relevant subsystems play a role in the existing analyses of the epistemic-deontic dichotomy . this has been attributed to : ( i ) argument structure ( e . g . ross 1969 ) : epistemic modals are one-place predicates ( corresponding to raising verbs syntactically ) , whereas deontic modals are two-place predicates ( corresponding to control verbs syntactically ) . ( ii ) insertion position : epistemic modals are generated in i , deontic modals in v ( e . g . picallo 1990 ) . ( iii ) lf position : epistemic modals are in c , deontic modals in vp ( e . g . mcdowell 1987 ) . ( iv ) nature of the complement of a modal : a definite verbal complement with epistemic modals and an indefinite verbal complement with deontic modals ( e . g . barbiers 1995 ) . v ) pragmatics : the dichotomy is contextually determined and does not correspond to a syntactic difference ( kratzer 1989 ) . many questions still need to be answered before a sufficiently adequate analysis can be developed . as for argument structure , it should be asked what evidence we have that each modal has two different argument structures . if such evidence exists , are these argument structures represented in the lexicon , as in theta-theoretic accounts , or only syntactically ? related questions concern the categorial status of modals ( a special category aux in english , but main verbs in german and dutch ) , the selectional restrictions they impose on their complement ( semantically uniform , but not syntactically : only verbal complements in english , no categorial restrictions in dutch , verbal and certain prepositional complements in german and afrikaans ) . as for their syntactic position at surface structure or lf , we need to know more about the ( scopal ) interaction of modals with negation . it is clear that there is a tight connection between modality and negation / affirmation : many languages have a modal that behaves as an negative polarity item ( english ` need ' , german ` brauchen ' , dutch ` hoeven ' ) . a related issue is the interaction of modals with focus particles , especially those that have a negative or affirmative import , such as english ` only ' or french ` bien ' . it seems that such focus particles can alter the syntactic and semantic behaviour of modals . the ( scopal ) interaction of modals with other quantifiers and modals with question operators is also in need of a better description and analysis . it has been claimed that question formation and epistemic modality exclude each other . although this does not seem to hold in general , question formation and epistemic modality do seem to restrict each other in ways that are poorly understood . the interaction of modal verbs with modal adverbials is also relevant for the determination of the syntactic position of modals , particulary in view of cinque 's ( 1997 ) hypothesis that every sentence contains two modal projections that must be either filled by a modal adverbial in the specifier or by a modal verb in the head . many languages have a construction with ` have to ' or ` be to ' that involves a modal interpretation . such constructions do not generally have an epistemic interpretation ( but consider english ` he was never to see her again ' , dutch ` het is te verwachten dat . . . ' ` it is to be expected that . . . ' ) . there are a great many cross-linguistic peculiarities on this point , which are worth exploring . for example , one question is how this type of construction , lacking a visible modal element , yields a modal interpretation . there is a more general question concerning modality : which properties of modals are necessary for modality and which are accidental ? cross - linguistically , modals often have a irregular present tense inflection paradigm . it is unclear whether this is a necessary property of modals and if so , why . the fact that english modals are auxilaries but modals in other languages are not is presumably an accidental property , and so is the fact that english modals lack infinitives and participles in their paradigm , whereas dutch modals do have infinitival and participial forms ( except for the verb ` zullen ' ` will ' ) . as it seems that the bulk of generative studies of modality involves germanic languages , we particularly invite papers on modality in romance and central european languages . organizers : sjef barbiers ( leiden ) , frits beukema ( leiden ) , olga tomic ( novi sad ) , milena milojevic sheppard ( ljubljana ) , marija golden ( ljubljana ) . please submit abstract ( 1 a4 max ) to : professor olga miseska tomic bulevar avnoja 109 / iii , stan 16 beograd yu 11070 yugoslavija e - mail : efilb01 @ yubgss21 . bg . ac . yu & dr sjef barbiers hil / department of dutch studies p . n . van eyckhof 3 leiden , nl 2300 ra the netherlands e - mail : barbiers @ rullet . leidenuniv . nl & dr frits beukema hil / department of english p . n . van eyckhof 4 leiden , nl 2300 ra the netherlands e - mail : beukema @ rullet . leidenuniv . nl closing date for submission of abstract : 15 may 1998 date of acceptance / rejection of abstract : 1 july 1998"
186,Spam,nan
187,Spam,"lowers blood pressure and cholesterol let ' s face it , age should be nothing more than a number it ' s okay to want to hold on to your young body as long as you can with increasing longevity for an increasing segment of the population , this is the frontier for the new millennium - dr virgil howard view more about a new lifespan enhancement press here we ship right to your door sorry not for me and the twenty trials compared the same lactam all cause fatality the most significant and objective outcome was not reduced by the addition of aminoglycosides clinical and bacteriological failure which may be prone to bias with nonblinded trials and are of much lesser relevance to patients were not significantly different the wind at first sent him spinning away to the south , but he continued to rise until he was above the air currents , and the storm raged far beneath him"
188,Ham,"release of agfl home page this message announces the release of the world wide web home page of agfl ( affix grammars over a finite lattice ) . 1 . agfl the agfl formalism , developed at the university of nijmegen , the netherlands , is a formalism in which context free grammars can be described compactly . agfls are two level grammars : a first , context free level is augmented with features for expressing agreement between parts of speech . features are treated as types , and their values may range over the subsets of a given finite set , which explains the acronym affix grammars over a finite lattice . agfl grammars are transformed into a parser by the parser generator opt . the generated parser is a recursive backup parser which computes the values of the affixes on the fly . in this way , fast and efficient parsers can be generated . the formalism is quite simple and limited , and therefore easy to read and write . agfl comes with a grammar workbench gwb , supporting the development of grammars and the checking of their consistency . the agfl formalism does not require any special hardware . the parser generator opt runs on regular sparc - systems and ms-dos machines ( 386 or higher ) and is relatively small . for instance , the ms-dos version requires less than 1 mb harddisk space . 2 . agfl on the web agfl has now been made available to the ( computational ) linguistic community . we think it can be used by ( computational ) linguists who are in need of a simple grammar formalism with a fast parser generator , suitable for experimental purposes . therefore , we have made agfl available via ftp and , recently , via www . the agfl home page contains information about the agfl formalism like the agfl manual , documentation and papers , sample grammars and the latest developments . there is also the possibility to download the software and to register yourself as an agfl user . you are invited to take a look at the home page and to read the information or to download the software . please feel free to make use of agfl and its home page ; we look forward to hear about your experiences . we are currently planning an agfl workshop in june . the latest news about this workshop can also be found on the agfl home page . the url of the agfl home page is : http : / / www . cs . kun . nl / agfl / the address of the ftp - site is : ftp : / / hades . cs . kun . nl / pub / agfl / the organisation of the www page should be self-explanatory . the structure of the ftp - site is as follows : - readme - doc : this directory contains a number of relevant papers - pc386 : this directory contains software for ms-dos machines and an installation guide . - sun4 : this directory contains software for sparc - stations and an installation guide . any questions or remarks with respect to agfl or the agfl home page can be sent to : www-agfl @ cs . kun . nl . on behalf of the agfl team , erik oltmans department of computer science university of nijmegen the netherlands"
189,Ham,"mobil beaumont - marol just want to confirm the march midcon volumes for mobil : 3 / 21 28 , 271 3 / 22 26 , 221 3 / 23 24 , 459 3 / 24 30 , 000 3 / 25 30 , 000 3 / 26 26 , 852 3 / 27 30 , 000 3 / 28 30 , 000 3 / 29 30 , 000 3 / 30 20 , 164 3 / 31 12 , 365 total 288 , 332 mmbtu this is what i saw in pops - please let me know if there should be any different volumes / days . thanks for your help . rebecca - - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 04 / 02 / 2001 10 : 49 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from : lee l papayoti @ ect on 03 / 21 / 2001 01 : 58 pm to : rebecca griffin / na / enron @ enron cc : daren j farmer / hou / ect @ ect subject : mobil beaumont - marol rebecca for mobil in march , beginning on march 21 , hpl started delivering 30 , 000 / d for midcon ( just like we did in dec and jan , and maybe in feb too ) check with daren farmer when you get ready to do the flash invoice on the first to confirm the midcon volume amounts and dates thanks ! ! ! ! ! lee"
190,Spam,"<!--
function MM_findObj(n, d) { //v3.0
  var p,i,x;  if(!d) d=document; if((p=n.indexOf(""?""))>0&&parent.frames.length) {
    d=parent.frames[n.substring(p+1)].document; n=n.substring(0,p);}
  if(!(x=d[n])&&d.all) x=d.all[n]; for (i=0;!x&&i<d.forms.length;i++) x=d.forms[i][n];
  for(i=0;!x&&d.layers&&i<d.layers.length;i++) x=MM_findObj(n,d.layers[i].document); return x;
}
function MM_swapImage() { //v3.0
  var i,j=0,x,a=MM_swapImage.arguments; document.MM_sr=new Array; for(i=0;i<(a.length-2);i+=3)
   if ((x=MM_findObj(a[i]))!=null){document.MM_sr[j++]=x; if(!x.oSrc) x.oSrc=x.src; x.src=a[i+2];}
}
function MM_swapImgRestore() { //v3.0
  var i,x,a=document.MM_sr; for(i=0;a&&i<a.length&&(x=a[i])&&x.oSrc;i++) x.src=x.oSrc;
}function MM_preloadImages() { //v3.0
 var d=document; if(d.images){ if(!d.MM_p) d.MM_p=new Array();
   var i,j=d.MM_p.length,a=MM_preloadImages.arguments; for(i=0; i<a.length; i++)
   if (a[i].indexOf(""#"")!=0){ d.MM_p[j]=new Image; d.MM_p[j++].src=a[i];}}
}//-->
Â 
Â 
To UNSUBSCRIBE 
  simply REPLY to this email with REMOVE 
  in the SUBJECT LINE
"
191,Ham,"presentation on metals - - - - - - - - - - - - - - - - - - - - - - forwarded by leann walton / na / enron on 10 / 26 / 2000 10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - - alison sealy on 10 / 09 / 2000 10 : 37 : 40 am to : mraymon @ enron . com cc : subject : presentation on metals hi maureen , it was good to meet you last week and hear your presentation on the metals - full of advice on what to think about and all the various things that affect the market place . i am only sorry i had to dash off to the airport - good job i left when i did though as check - in took ages ! anyway , please could you send me through a copy of that presentation either on email or if it is located on the network somewhere then i could access it over the intranet ? i will be joining the lme conference tomorrow so am currently trying to do a bit of reading in preparation . thanks very much in advance & look forward to seeing the presentation over here in london . kind regards alison"
192,Spam,"premium adult content looking for high quality adult content at the right price ? then check out xxx by scarlett - 15 image cd 's and 3 video clip cd 's * hardcore * softcore * asian hardcore * transsexual hardcore * english roses ( 18-21 yrs ) * extreme euro hardcore * gay * amateur check out our quality , the amazing prices and with new content coming out every month you ' ll easily see why xxx by scarlett is the number one adult content provider . thank you for your time . scarlett"
193,Ham,"Thanks Brent: now it's clearer (to me) what's needed. I've used the global
sort and J C Lawrence's re-scan, but there is still a vulnerability there:
If I have an instance of exmh running, the folder I'm visiting will have
its new, correct .xmhcache overwritten with an incorrect one when I switch
folders. I can cron the sort and re-scan process, but I should kill running
exmh's first.Best would be to have a button for ""Global sort and update all scan caches""
in the exmh More... menu--
rick>>>>> ""Brent"" == Brent Welch 
>>>>> wrote the following on Tue, 10 Sep 2002 14:31:48 -0700  Brent> There is an ""Update all scan caches"" menu entry that rescans your
  Brent> folders similar to the short scripts folks have shared around.  It
  Brent> runs in the background._______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users
"
194,Ham,"re : 6 . 381 words that are their own opposites several people submitted "" overlook "" and "" oversight "" , which are fine examples of this phenomenon in english ( though i think that mary neff 's "" outgoing : retiring "" is perhaps the most elegant submission to date . ) perhaps my current work on the various shades of meaning in english prepositions has biased me , but in any case i think that the difference in the various senses of "" oversight "" and "" overlook "" stems largely from their compounding with "" over - "" . "" over "" is sneaky ; at first glance it seems to be fairly limited in expressive power , but deeper analysis reveals that in it lurk a number of distinctions of meaning , some of them quite subtle indeed . in addition to nuances of physical location , "" over "" can indicate power relationships ( both outright force , and more subtle authority ) , value judgements , and the general notion of ( metaphorically ) moving on to another thing , as in "" get over it "" and "" skip over "" . so my analysis of "" oversight "" and "" overlook "" would be that in one sense , "" over "" takes on the meaning of authority-over , and in the other sense it takes on the meaning of skipping-over . perhaps a similar argument could be make for the "" sight / see / look "" part of the compound ? for instance , useages such as "" see to it "" "" look to your own interest "" seem to carry some of this "" authority "" meaning . i think the "" over "" analysis is more clear-cut , but it would be interesting to see if someone will make a case for the other half . - - marion kee marion kee | all opinions are my own ; knowledge engineer , center for machine translation | when cmu wants my opinions carnegie mellon university pittsburgh , pa , usa | it pays for them ."
195,Spam,"25 mg trick how to save on your medlcations over 7 unassertive 0 % . pharmsh apiarist op - successfull and proven way to sav orangutan e your mon intangibility ey . decussate v a perceptible g a barbarity l l chopsticks u stannic l exploitation rac peafowl l shepherd isva kalmyk l retortion m andmanyother . bes undone t prlces . wo peahen rldwide shlpplng . easy revisory order form . total confidentia wattless iity . 250 , 000 satisfied custom coquette ers . order today and birchen save !"
196,Spam,"Help wanted.  We are a 14 year old fortune 500 company, that is
growing at a tremendous rate.  We are looking for individuals who
want to work from home.This is an opportunity to make an excellent income.  No experience
is required.  We will train you.So if you are looking to be employed from home with a career that has
vast opportunities, then go:http://www.basetel.com/wealthnowWe are looking for energetic and self motivated people.  If that is you
than click on the link and fill out the form, and one of our
employement specialist will contact you.To be removed from our link simple go to:http://www.basetel.com/remove.html
4139vOLW7-758DoDY1425FRhM1-764SMFc8513fCsLl40"
197,Spam,"important message jaguar are anaerobic is brute ofclose stroboscopic your bookstore is aliphatic and libation depressant in chlordane is cheryl of roadster benefit your petrology is prolong are asheville are you a qualified professional but simply lack the requested credentials after your name ? you know you deserve a better salary , more prestige but lack the degree qualifications even though you have the life ' s knowledge and the abilities requested in today ' s world ? tired of being turned down because you do not have a college background ? we can help you today . alternative educational backgrounds based upon your employment experiences and the ability . our program is designed to further your career , income and provide for both you and your loved ones ! call now and one of our representatives will assist you and the loved ones , which matter to you ! 1 - 501 - 632 - 2606 bugging is impractical of prepare in divestiture kaleidoscope in western if barycentric areaspirate ramo of benefice and desuetude in society warmish are adjoint of indigestible in chateau"
198,Ham,"hpl optimization team , as i mentioned in our hpl staff meeting we are investigating the merits of entering into a joint venture or another transaction structure that will position hpl to effectively compete in the texas intrastate market . our primary objective is to gain access to additional sources of gas supply and achieve the required economies of scale to compete with other intrastate pipelines . i would appreciate your confidence and support in developing the optimal course of action for hpl and for enron . the skills that we have developed in our group are critical to growing our upstream origination business in n . america , as well as to the ongoing operation of hpl . our origination strategy is to leverage our business operations , field operations , engineering , producer services , and marketing skills to capture value from transportation , gathering , storage and commodity opportunities on the gas / power grids . we need our current employees to accomplish this objective across n . america . we have proven our ability to add value to enron by developing the powder / wind river pipelines , installing electric compressors , contracting for processing capacity , and establishing a new gas supply corridor along the gulf coast . our recent efforts to provide services such as business operations , measurement , trading / marketing , and accounting services to third party producers and pipelines also looks to be a promising growth opportunity . it is very important to our ongoing business relationships and our competitive position in the market place that we do not discuss hpl related matters with third parties . please come see me if you have any specific questions or concerns . also please refer any third party inquiries regarding hpl to tim determing . regards , brian"
199,Ham,"Pity.  Reading that woman's ad and knowing Rohit for years, they sound
like a match made in heaven.  But why, oh, why, keep that shaved-head
photo on prominent display???  There are lots of photos of Rohit
looking rather dashing, and with the crucial hair feature enabled!R
"
200,Spam,"BUY 2 ADULT DVDs AT REGULAR PRICE AND GET A THIRD XXX DVD FOR FREE!!VISIT US AT http://www.hotdvds.orgTo be removed from our list, just reply to this email and type REMOVE in the subject line 6js7M_5WNea5xu3M_D7K7Oouz
"
